window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,34,905.3335882352941,730.2810000000015,985.8790000000006,61.15214648831482,74.59732536289278,73.51043300825091,66.66666666666666,54.54545454545454,4.857142857142857,512.6711372072072,655.6468476116111,0.7819318266758462,43.881130297477334,56.11886970252266,6.485622301930507,0.13333333333333333,0.2,120,52.748274622480714,58.200797400381354,0.9063153251940683,0.7865615762671786,irsyad,etika,truth
5.0,35.0,2,34,887.0765882352941,730.2810000000015,985.8790000000006,65.3055646972856,71.04300634464185,70.13528793998223,63.63636363636363,51.515151515151516,6.8,916.0187901390497,648.9811334101385,1.4114721414561533,58.53155494484975,41.46844505515024,6.475403646035223,0.13793103448275862,0.20689655172413793,117,50.23499154217517,67.64644527520417,0.7426109581635153,0.8424467859335252,irsyad,etika,truth
10.0,40.0,3,35,851.989014093502,584.2250000000035,985.8790000000006,90.51327091931998,78.33597227067172,77.47500751983763,70.58823529411765,58.82352941176471,7.0,570.8658613412716,767.2034903539823,0.7440866321891708,42.663398621156574,57.33660137884343,6.642752073029659,0.13793103448275862,0.20689655172413793,116,55.391897203433324,106.9763623826216,0.5177956697135907,1.1825095157673262,irsyad,etika,truth
14.999999999999998,45.0,4,35,848.8592426649308,584.2250000000035,985.8790000000006,88.37418166645288,82.66404437962225,81.44109440489933,70.58823529411765,61.76470588235294,5.833333333333333,1287.946789435765,1646.7130106507475,0.782131908295784,43.8874308155854,56.112569184414596,7.406536465237707,0.13793103448275862,0.20689655172413793,116,58.452306341136605,103.09972344550401,0.566949205950422,1.6346739862547592,irsyad,etika,truth
20.0,50.0,5,35,856.1620712363593,584.2250000000035,985.8790000000006,85.24267976963002,70.80168884461462,69.7713161557313,64.70588235294117,55.88235294117647,7.0,868.048007076263,1155.2050806158893,0.7514232941336005,42.90357999979194,57.09642000020807,7.052033166168961,0.06896551724137931,0.20689655172413793,117,50.06435430148693,105.6359317051156,0.47393300265711086,0.6959500836302207,irsyad,etika,truth
25.0,55.0,6,35,858.7702140935021,584.2250000000035,967.6229999999962,85.08937900493139,68.33349973636135,67.34036644353849,58.82352941176471,52.94117647058824,5.0,950.8947017920004,2034.4497077266683,0.46739651424195083,31.852093807337777,68.14790619266222,7.617980647414737,0.13559322033898305,0.2033898305084746,118,48.31908104579026,106.42299938539158,0.45402855890963456,1.534008153996074,irsyad,etika,truth
30.0,60.0,7,34,842.144396860958,584.2250000000035,967.6229999999962,79.7503487697655,66.57884682734102,65.56231618930319,54.54545454545454,48.484848484848484,4.857142857142857,1373.669196787748,1351.8099605182585,1.0161703470960586,50.401016390290366,49.59898360970964,7.209199684976331,0.07272727272727272,0.21818181818181817,111,47.078354075193296,98.82266391831153,0.47639227894229863,2.1307474012086867,irsyad,etika,truth
35.0,65.0,8,34,850.7359262727228,584.2250000000035,967.6229999999962,82.7587261077842,65.28630653208121,64.63138767880427,54.54545454545454,42.42424242424242,4.25,631.3626722218457,643.2613480721445,0.9815025791834701,49.53324762201036,50.46675237798964,6.466551092781823,0.06896551724137931,0.20689655172413793,116,46.164390067458214,100.76301452041865,0.4581481636608187,0.7599200976643219,irsyad,etika,truth
40.0,70.0,9,33,893.4876969696971,803.3099999999962,1077.1649999999936,63.23424126634432,48.95309716954495,48.518748860298615,50.0,34.375,4.125,533.2174668682577,338.84959877473267,1.5736110321403711,61.14408947150264,38.855910528497354,5.825556347502131,0.13559322033898305,0.2033898305084746,118,34.61506696866922,73.04419654080709,0.4738920901037095,1.8596536844688714,irsyad,etika,truth
45.0,75.0,10,33,899.0201212121215,821.5659999999971,1077.1649999999936,68.01059856226252,56.43618543761384,55.62057245159834,53.125,40.625,3.6666666666666665,1021.2625103475089,233.99071264415753,4.364542929105903,81.35908290388743,18.640917096112563,5.455281425015168,0.06779661016949153,0.2033898305084746,118,39.90640942723822,83.39415186749791,0.47852767290737774,1.6103157675881539,irsyad,etika,truth
50.0,80.0,11,32,893.6503633520905,821.56599999999,1077.1649999999936,70.31179885309874,51.65083410240592,50.81582127148396,41.935483870967744,29.03225806451613,3.2,671.294864013367,449.8894020427765,1.492133090855825,59.8737321185126,40.126267881487394,6.109001779318899,0.06896551724137931,0.20689655172413793,117,36.52265504775261,90.56012865020013,0.40329729641646106,1.6036149900587295,irsyad,etika,truth
55.0,85.0,12,33,877.6725514690638,712.0239999999995,1077.1649999999936,76.91805256946186,57.91805973102891,57.044409005001405,43.75,34.375,3.3,965.6867069076136,360.1634373962051,2.6812458085391113,72.83528316201068,27.164716837989317,5.886557921193856,0.13559322033898305,0.2033898305084746,119,40.95425278897805,97.92799119925574,0.4182078309525184,1.1485274918366342,irsyad,etika,truth
60.0,90.0,13,32,905.099818702472,712.0239999999995,1077.1649999999936,87.909971392608,63.80775503220079,63.16675426255875,51.61290322580645,38.70967741935484,6.4,1207.3556357629095,1018.8700171861427,1.1849947641970227,54.23329994259751,45.76670005740248,6.9264494658970985,0.06896551724137931,0.20689655172413793,116,45.11889627555923,109.75266061835883,0.41109615039265834,2.082054435918291,irsyad,etika,truth
65.0,95.0,14,32,921.6452562024716,712.0239999999995,1077.1649999999936,87.37904207697909,69.20757478967842,68.08217336853193,58.06451612903226,48.38709677419355,8.0,706.1626886150405,746.7475562921128,0.9456511543491462,48.603325022335916,51.396674977664084,6.615727184633031,0.13559322033898305,0.2033898305084746,118,48.93714544325676,109.7336053650538,0.4459631603322994,0.9633077644373264,irsyad,etika,truth
