window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,46,637.6921399278102,545.9359999999994,764.3109999999997,40.814776484439946,37.61494231201311,37.196848796395905,60.0,24.444444444444443,4.181818181818182,151.57122128532828,355.2951069350463,0.4266065541764918,29.90358854917432,70.09641145082567,5.8729487312886,0.13559322033898305,0.2033898305084746,119,26.597780782765266,48.36502951571803,0.5499382725305961,1.1458230220146128,desta,etika,lie
5.0,35.0,2,46,633.2256237535355,545.9359999999994,709.7179999999952,33.3501939128746,35.90515075135358,35.56149453208773,51.11111111111111,22.22222222222222,3.5384615384615383,152.46350757838488,455.1713888469749,0.3349584602947044,25.09130210843858,74.90869789156142,6.120674026809867,0.13559322033898305,0.2711864406779661,118,25.38877557580738,34.1661363802496,0.7430976477189226,0.911346691968471,desta,etika,lie
10.0,40.0,3,44,638.6148304809112,545.9359999999994,709.7179999999952,34.253686558876744,33.184183823598254,32.8267813083375,39.53488372093023,18.6046511627907,4.0,115.61943695911998,212.16931946242727,0.5449394721728127,35.27254510536949,64.72745489463051,5.357384632609051,0.14035087719298245,0.3508771929824561,115,23.464761409807263,39.09486461000973,0.6002006054728584,1.2767589230216798,desta,etika,lie
15.0,45.0,4,43,649.4789595115013,582.332000000001,709.7179999999952,28.729241427130592,32.41575675327943,32.02753009276291,38.095238095238095,16.666666666666664,4.3,107.42030035496133,215.03722384513858,0.4995428160490076,33.31300785163321,66.6869921483668,5.370811147305108,0.13559322033898305,0.2033898305084746,119,22.92140141753751,29.91730085457616,0.7661587363430697,0.89720629538964,desta,etika,lie
20.0,50.0,5,45,640.3851663524118,564.1340000000027,709.7179999999952,37.298779238812365,32.70901594472653,32.389621309463095,38.63636363636363,15.909090909090908,5.0,169.01017289160612,132.60078997675225,1.2745789291393905,56.03581888546027,43.964181114539734,4.887343035326416,0.13559322033898305,0.3389830508474576,119,23.128766980455037,44.161293525087764,0.5237339111753084,0.8553131709976315,desta,etika,lie
25.0,55.0,6,46,630.2067731811287,545.9370000000022,709.7179999999952,42.533529015089655,31.721340023995914,31.43200490243114,37.77777777777778,11.11111111111111,6.571428571428571,204.12511543211343,96.26708063315745,2.1204041307741313,67.95286898457242,32.04713101542758,4.567126418547245,0.13333333333333333,0.3333333333333333,120,22.430374639291752,53.196841864537106,0.421648613961135,1.0698742623533848,desta,etika,lie
30.0,60.0,7,45,617.5211681407093,545.936999999995,709.7179999999952,46.22774589601206,31.291287975016846,31.068844481172288,36.36363636363637,11.363636363636363,5.625,143.02476996056643,176.94581332339112,0.8082969993710467,44.69934970041894,55.30065029958106,5.175843546287723,0.13793103448275862,0.20689655172413793,116,22.126281919195485,58.67801867891533,0.37707956773847384,1.0505482440540566,desta,etika,lie
35.0,65.0,8,45,602.5584570295979,527.7379999999994,709.7179999999952,47.8021204423365,28.25313328720213,28.121344460388208,34.090909090909086,9.090909090909092,6.428571428571429,188.39346708526418,149.39981466239033,1.2610020133625377,55.77182178122827,44.22817821877172,5.006626032151698,0.13793103448275862,0.20689655172413793,117,19.977982137147997,61.80451197001658,0.3232447195253314,0.9504920221470685,desta,etika,lie
40.0,70.0,9,48,584.4472441215509,527.7379999999994,709.7179999999952,43.55462135536061,28.816067950704905,28.59384427083007,36.17021276595745,8.51063829787234,4.363636363636363,142.5575357827427,162.27150023597747,0.8785124656851853,46.76638998851407,53.23361001148593,5.089270859815773,0.07017543859649122,0.21052631578947367,115,20.37603705507578,55.57464647019533,0.3666426751990846,1.3672218099356788,desta,etika,lie
45.0,75.0,10,49,567.0120002521957,527.7379999999994,636.9260000000025,28.36140049737002,25.048044226365537,24.83210222953225,25.0,6.25,4.083333333333333,70.04932992250872,151.76213493623987,0.461573171410238,31.580572251807055,68.41942774819294,5.022314393373352,0.13793103448275862,0.27586206896551724,116,17.71164192792362,33.38430497464935,0.5305379860797791,0.92618668933833,desta,etika,lie
