window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,38,809.3277174547703,745.829999999998,873.1670000000001,29.312457365905583,25.097876206048436,24.77591265083075,35.13513513513514,2.7027027027027026,3.1666666666666665,150.14488175835282,82.19656454158503,1.826656413144752,64.62251318024657,35.37748681975344,4.409113507290753,0.13559322033898305,0.2033898305084746,118,17.74687845867735,33.99959990298575,0.5219731558405447,1.6343343311472185,dewi,kognitif,lie
5.0,35.0,2,38,805.4980595600333,745.829999999998,854.9760000000006,25.063331482612423,21.12025435449532,20.856083114304713,24.324324324324326,0.0,2.375,158.74755758785858,96.76940213753417,1.6404726502519622,62.12799250525936,37.87200749474064,4.572330850693898,0.06896551724137931,0.27586206896551724,117,14.934275074448351,30.114301160885034,0.4959196959166442,1.4237715322604063,dewi,kognitif,lie
10.0,40.0,3,38,806.5622741466847,745.829999999998,854.9760000000006,24.587996905587424,20.882441156244962,20.605294618470776,18.91891891891892,2.7027027027027026,2.235294117647059,96.15655637253597,39.894638858854066,2.410262609789118,70.67674503630566,29.323254963694346,3.68624195042836,0.06896551724137931,0.20689655172413793,116,14.766115749309861,30.15366790954917,0.48969550880520496,0.9777219984542826,dewi,kognitif,lie
14.999999999999998,45.0,4,38,813.2642478308953,745.829999999998,873.1670000000022,29.447729867094996,19.977971437655373,19.761270177884583,16.216216216216218,2.7027027027027026,2.7142857142857144,125.03741880568893,81.87260425120454,1.5272192688783237,60.43081768508998,39.56918231491002,4.405164432473312,0.06896551724137931,0.20689655172413793,117,14.126559077917275,37.14826624435264,0.3802750573874985,1.5522628815576118,dewi,kognitif,lie
20.0,50.0,5,37,824.4081961034653,745.829999999998,909.5489999999984,36.00743553935065,24.612212586523395,24.3286018303312,22.22222222222222,5.555555555555555,2.8461538461538463,133.82649591616416,79.06844038157334,1.692539972590025,62.86034710050846,37.139652899491544,4.370313811360334,0.06779661016949153,0.2033898305084746,118,17.40346241993559,45.58084775322045,0.3818152420981677,1.3266609325601015,dewi,kognitif,lie
25.0,55.0,6,36,841.4453931747988,800.4020000000054,909.5490000000054,35.657657368544896,28.077402261455756,27.678270634139285,22.857142857142858,11.428571428571429,3.6,45.685780775290695,148.8444683490119,0.3069363697693236,23.485180829690915,76.51481917030908,5.0029019241848225,0.06896551724137931,0.20689655172413793,117,19.85372153717787,44.947504126045544,0.4417090987188611,1.1562286765292222,dewi,kognitif,lie
30.0,60.0,7,35,843.2968036627062,784.8956862850696,909.5490000000054,38.44826989514312,29.68630439786339,29.28627528019704,26.47058823529412,14.705882352941178,3.888888888888889,22.94477411842319,136.97332405711416,0.1675127202787007,14.347828282223189,85.65217171777681,4.91978619195714,0.06779661016949153,0.2033898305084746,118,20.991387148097232,47.72270595383259,0.4398616283075923,1.7308453857978636,dewi,kognitif,lie
35.0,65.0,8,34,851.5137390645506,764.0209999999996,909.5490000000054,38.40425361222298,38.178888307727284,37.66057451897486,36.36363636363637,18.181818181818183,4.857142857142857,176.5358122836697,207.58252522958037,0.8504367700914426,45.958704660274165,54.041295339725835,5.335528972554103,0.06896551724137931,0.20689655172413793,116,26.996550820557754,43.006126277861995,0.6277373285409016,0.8679547390667163,dewi,kognitif,lie
40.0,70.0,9,34,859.4198227618227,764.0209999999996,909.5490000000054,36.08958312686803,40.72498570708531,40.10698208613266,42.42424242424242,21.21212121212121,4.25,98.90699660749966,262.229420032935,0.377177345681035,27.387710585270707,72.61228941472929,5.569219769584854,0.06779661016949153,0.2711864406779661,118,28.796913557205247,35.72982644278214,0.8059628725966727,0.9483350203865051,dewi,kognitif,lie
45.0,75.0,10,33,867.2718476939991,764.0209999999996,927.74,38.16298567578813,43.144634518155094,42.468953783135746,53.125,25.0,4.125,319.22218121710694,283.32085517119185,1.1267161431664545,52.97915035755049,47.02084964244952,5.6465800192741735,0.07017543859649122,0.21052631578947367,115,30.50786363960266,40.05632245098463,0.7616241774799459,0.7506643376627461,dewi,kognitif,lie
